x0000,y0000,x0001,y0001
0,0.2119357553,0,4.125409189,
0.04,0.3879977455,0.04,3.945337001,
0.08,0.5600587183,0.08,3.781271598,
0.12,0.7161143537,0.12,3.62120813,
0.16,0.8681688686,0.16,3.46514657,
0.2,1.016222239,0.2,3.321090029,
0.24,1.152271535,0.24,3.181035317,
0.28,1.288321073,0.28,3.048983967,
0.32,1.41236645,0.32,2.924935937,
0.36,1.536412029,0.36,2.804889648,
0.4,1.64845337,0.4,2.684843546,
0.44,1.760494874,0.44,2.572800688,
0.48,1.868535052,0.48,2.468761039,
0.52,1.972573886,0.52,2.36472153,
0.56,2.068609858,0.56,2.264683675,
0.6,2.160644444,0.6,2.172648964,
0.64,2.252679141,0.64,2.084615865,
0.68,2.336710918,0.68,2.000584365,
0.72,2.416741267,0.72,1.916552958,
0.76,2.4967717,0.76,1.840524621,
0.8,2.572800688,0.8,1.76449636,
0.84,2.644828221,0.84,1.688468174,
0.88,2.712854286,0.88,1.620443019,
0.92,2.776878874,0.92,1.556419399,
0.96,2.840903515,0.96,1.492395833,
1,2.900926664,1,1.42837232,
1.04,2.964951409,1.04,1.372351791,
1.08,3.016971553,1.08,1.316331302,
1.12,3.072993287,1.12,1.268313773,
1.16,3.121011948,1.16,1.21229336,
1.2,3.16903064,1.2,1.164275896,
1.24,3.221050923,1.24,1.116258463,
1.28,3.265068113,1.28,1.072242508,
1.32,3.305083763,1.32,1.028226579,
1.36,3.349101002,1.36,0.9882121202,
1.4,3.377111985,1.4,0.9481976821,
1.44,3.429132409,1.44,0.9081832649,
1.48,3.461144996,1.48,0.8721703073,
1.52,3.497159172,1.52,0.8321559299,
1.56,3.529171787,1.56,0.8041458782,
1.6,3.565185995,1.6,0.7681329695,
1.64,3.593197057,1.64,0.7401229412,
1.68,3.625209712,1.68,0.7121129232,
1.72,3.653220797,1.72,0.6841029153,
1.76,3.681231891,1.76,0.6560929178,
1.8,3.705241409,1.8,0.6280829305,
1.84,3.729250934,1.84,0.6040743781,
1.88,3.753260467,1.88,0.5800658332,
1.92,3.777270007,1.92,0.5600587183,
1.96,3.797277963,1.96,0.5360501872,
2,3.821287518,2,0.5160430838,
2.04,3.837293891,2.04,0.4960359855,
2.08,3.861303458,2.08,0.4760288925,
2.12,3.87730984,2.12,0.4560218048,
2.16,3.889314629,2.16,0.4400161383,
2.2,3.913324212,2.2,0.4240104752,
2.24,3.929330605,2.24,0.4080048155,
2.28,3.945337001,2.28,0.3919991591,
2.32,3.9613434,2.32,0.375993506,
2.36,3.973348202,2.36,0.3599878563,
2.4,3.989354608,2.4,0.3479836213,
2.44,4.005361017,2.44,0.3359793881,
2.48,4.021367429,2.48,0.3199737467,
2.52,4.029370636,2.52,0.3039681087,
2.56,4.041375449,2.56,0.2999666998,
2.6,4.053380263,2.6,0.2879624741,
2.64,4.061383474,2.64,0.2759582503,
2.68,4.069386685,2.68,0.2679554355,
2.72,4.085393111,2.72,0.2559512148,
2.76,4.093396325,2.76,0.2439469961,
2.8,4.101399539,2.8,0.2439469961,
2.84,4.109402755,2.84,0.227941374,
2.88,4.117405972,2.88,0.2199385642,
2.92,4.125409189,2.92,0.2119357553,
2.96,4.133412407,2.96,0.2039329471,
3,4.137414017,3,0.1959301399,
3.04,4.149418846,3.04,0.1919287365,
3.08,4.157422067,3.08,0.1759231253,
3.12,4.161423678,3.12,0.1759231253,
3.16,4.165425288,3.16,0.1719217231,
3.2,4.173428511,3.2,0.1639189191,
3.24,4.181431734,3.24,0.1599175175,
3.28,4.185433346,3.28,0.1519147148,
3.32,4.189434958,3.32,0.1479133138,
3.36,4.19343657,3.36,0.143911913,
3.4,4.201439796,3.4,0.1399105124,
3.44,4.205441409,3.44,0.1319077118,
3.48,4.209443022,3.48,0.1279063118,
3.52,4.209443022,3.52,0.123904912,
3.56,4.217446249,3.56,0.1199035125,
3.6,4.221447863,3.6,0.1159021131,
3.64,4.225449477,3.64,0.111900714,
3.68,4.229451091,3.68,0.107899315,
3.72,4.233452705,3.72,0.1038979163,
3.76,4.233452705,3.76,0.09989651781,
3.8,4.241455935,3.8,0.09989651781,
